Date,producer-price-index-yy united-states,consumer-price-index-yy united-states,ism-manufacturing-pmi united-states,ism-non-manufacturing-pmi united-states,consumer-confidence-index united-states,retail-sales-yy united-states,retail-sales-ex-autos-mm united-states,durable-goods-orders united-states,nonfarm-payrolls united-states,industrial-production-mm united-states,trade-balance united-states,housing-starts united-states,new-home-sales united-states,building-permits united-states,existing-home-sales united-states,unemployment-rate united-states,adp-nonfarm-employment-change united-states,ny-empire-state-manufacturing-index united-states,chicago-pmi united-states,capacity-utilization united-states,factory-orders united-states,durable-goods-orders-ex-transportation united-states,business-inventories-mm united-states,pce-price-index-mm united-states,core-pce-price-index-yy united-states,core-pce-price-index-mm united-states,average-hourly-earnings-mm united-states,fed-interest-rate-decision united-states,foreign-securities-purchases canada,foreign-securities-purchases-by-canadians canada,gdp-mm canada,unemployment-rate canada,cpi-mm canada,cpi-yy canada,core-cpi-mm canada,core-cpi-yy canada,trade-balance canada,ivey-pmi-nsa canada,core-retail-sales-mm canada_x,core-retail-sales-mm canada_y,cmhc-housing-starts canada,USDCAD
2009-06,-5.0,-1.3,42.8,44.0,54.8,-9.6,0.4,1.3,-322.0,-1.2,-28.79,0.53,0.342,0.518,4.77,9.4,-491.0,-9.4,34.9,68.2,0.5,1.1,-1.3,0.1,1.8,0.1,0.2,0.25,9.032,-1.48,-0.2,8.6,0.7,0.1,0.4,2.0,-0.542,48.4,-0.5,-0.5,128.4,1.1620999574661255
2009-05,-3.7,-0.7,40.1,43.7,40.8,-10.1,-0.2,1.9,-504.0,-0.7,-28.53,0.45,0.344,0.5,4.66,8.9,-708.0,-4.6,40.1,69.1,-0.9,0.4,-1.0,-0.09999999999999998,1.8,0.15000000000000002,0.1,0.25,7.672,-6.168,-0.2,8.0,-0.1,0.4,0.1,1.8,1.209,53.7,-0.3,-0.3,118.0,1.090000033378601
2009-04,-3.5,-0.4,36.3,40.8,26.9,-9.4,-1.2,-0.8,-699.0,-1.7,-26.13,0.53,0.351,0.516,4.55,8.5,-697.0,-14.7,31.4,69.4,0.7,-0.6,-1.4,-0.3,1.8,0.2,0.2,0.25,6.118,-3.004,-0.7,8.0,0.2,1.2,0.3,2.0,0.465,43.2,0.5,0.5,146.5,1.1937999725341797
2009-03,-1.3,0.2,35.8,41.6,25.3,-8.6,1.0,2.1,-651.0,-1.5,-36.2,0.572,0.358,0.564,4.72,8.1,-522.0,-38.2,34.2,70.3,-3.5,3.9,-1.1,0.4,1.8,0.2,0.2,0.25,10.353,-4.264,-0.75,7.7,0.7,1.8,0.5,2.5,-1.271,45.2,1.4,1.4,134.6,1.2619999647140503
2009-02,1.0,0.0,35.6,42.9,37.7,-9.7,1.6,-4.5,-655.0,-1.9,-39.9,0.47,0.322,0.52,4.49,7.6,-659.0,-34.7,33.3,71.9,-4.9,-3.0,-1.3,-1.0,1.7,0.0,0.3,0.25,-1.862,6.378,-0.8,7.2,-0.3,1.1,-0.4,1.9,-0.788,36.1,-3.1,-3.1,153.5,1.2702000141143799
2009-01,-0.9,0.1,32.4,40.1,38.6,-9.8,-3.1,-4.6,-577.0,-2.4,-41.58,0.56,0.344,0.547,4.74,7.2,-476.0,-22.2,35.1,73.3,-6.5,-5.5,-1.1,-0.9,1.7999999999999998,0.0,0.3,0.25,-4.014,2.613,-0.1,6.6,-0.7,1.2,-0.3,2.4,0.819,39.1,-2.3,-2.3,172.0,1.2359000444412231
2008-12,0.4,1.1,36.2,37.3,44.9,-7.4,-2.5,-3.7,-584.0,-1.3,-56.69,0.651,0.388,0.615,4.45,6.7,-179.0,-27.9,33.8,75.2,-6.0,0.6,-0.6,-0.8,1.9,0.0,0.4,0.25,2.847,12.306,-0.3,6.3,-0.3,2.0,0.7,2.4,2.3,40.2,-1.3,-1.3,178.0,1.21589994430542
2008-11,5.2,3.7,38.9,44.4,38.0,-4.1,-2.4,-6.2,-320.0,1.5,-56.56,0.791,0.419,0.73,4.91,6.5,-26.0,-25.4,37.8,76.0,-2.5,-4.4,-0.2,-1.0,2.1,0.0,0.2,0.875,-0.268,0.682,-0.5,6.2,-0.6,2.6,0.0,1.7,4.25,52.2,0.8,0.8,211.8,1.2418999671936035
2008-10,8.7,4.9,43.5,50.2,61.4,-1.0,-0.6,-0.2,-284.0,-3.7,-59.08,0.82,0.457,0.805,5.18,6.1,-37.0,-24.6,56.7,75.5,-4.3,-1.0,0.3,-0.3,2.4,0.2,0.2,1.5,-0.833,-0.217,0.7,6.1,0.1,3.4,0.4,1.7,5.63,61.0,-0.3,-0.3,218.6,1.205199956893921
2008-09,9.6,5.4,49.9,50.6,58.5,1.6,-0.7,-5.5,-73.0,-1.0,-61.31,0.895,0.452,0.872,4.91,6.1,-14.0,-7.4,57.9,78.7,0.7,-3.0,1.1,0.0,2.6,0.2,0.4,2.0,-5.48,-1.274,0.1,6.1,-0.2,3.5,0.3,1.7,4.9,51.5,0.4,0.4,211.0,1.0633000135421753
2008-08,9.8,5.6,50.0,49.5,51.9,2.6,0.3,0.8,-51.0,0.1,-58.8,0.954,0.52,0.937,5.0,5.7,9.0,2.8,50.8,79.9,2.1,0.7,0.7,0.1,2.4,0.3,0.3,2.0,7.25,-9.5,-0.1,6.1,0.3,3.4,0.1,1.5,5.8,65.5,1.4,1.4,186.5,1.0622999668121338
2008-07,9.2,5.0,50.2,48.2,51.0,3.0,0.8,1.3,-51.0,0.4,-59.2,1.066,0.503,1.091,4.86,5.5,25.0,-4.9,49.6,79.8,0.6,2.4,0.3,0.45,2.25,0.2,0.6,2.0,10.63,-6.093,0.4,6.2,0.7,3.1,0.1,1.5,5.2,69.6,0.6,0.6,217.8,1.0232000350952148
2008-06,7.2,4.2,49.6,51.7,58.1,2.5,1.2,0.1,-49.0,-0.2,-60.5,0.978,0.533,0.978,4.99,5.5,19.0,-8.7,49.1,79.4,1.3,-0.9,0.5,0.8,2.1,0.1,0.3,2.0,9.835,-5.99,-0.2,6.1,1.0,2.2,0.3,1.5,4.8,62.5,1.1,1.1,227.7,1.0192999839782715
2008-05,6.5,3.9,48.6,52.0,62.8,2.0,1.0,-1.0,-28.0,-0.7,-56.49,1.008,0.525,0.982,4.89,5.0,13.0,-3.2,48.3,79.6,1.5,1.9,0.2,0.4,2.1,0.1,0.1,2.0,5.296,3.223,-0.3,6.1,0.8,1.7,0.3,1.5,5.53,57.6,0.1,0.1,213.9,0.9937000274658203
2008-04,6.9,4.0,48.6,49.6,65.9,2.0,0.1,-0.3,-80.0,0.2,-61.71,0.954,0.526,0.932,4.93,5.1,-18.0,0.6,48.2,80.4,-0.9,1.5,0.5,0.25,2.05,0.1,0.3,2.0,3.08,-6.14,0.6,6.0,0.4,1.4,0.2,1.3,4.79,59.0,-0.3,-0.3,254.7,1.0080000162124634
2008-03,6.4,4.0,48.3,49.3,76.4,2.6,-0.1,-0.9,-76.0,-0.7,-58.96,1.075,0.575,0.984,5.03,4.8,9.5,-22.2,44.5,80.3,-2.3,-2.6,0.9,0.1,2.0,0.1,0.3,2.25,0.916,-0.232,0.35,5.8,0.4,1.8,0.5,1.5,2.78,62.0,1.3,1.3,243.0,1.0253000259399414
2008-02,7.4,4.3,50.7,44.6,87.9,3.9,0.5,-4.7,-22.0,0.1,-57.9,1.071,0.601,1.048,4.89,4.9,37.0,-11.7,51.5,81.5,2.0,-1.6,0.7,0.4,2.2,0.3,0.2,2.625,1.24,1.9,0.1,5.8,-0.2,2.2,0.1,1.4,2.35,56.2,-0.4,-0.4,222.7,0.9869999885559082
2008-01,6.3,4.1,48.4,53.9,88.6,4.1,-0.3,4.4,82.0,0.1,-63.12,1.004,0.605,1.08,4.91,5.0,173.0,9.0,56.4,81.5,1.7,2.6,0.4,0.3,2.2,0.2,0.4,3.0,4.898,4.117,0.2,5.9,0.1,2.4,-0.3,1.5,3.76,45.9,2.0,2.0,184.7,1.0012999773025513
2007-12,7.2,4.3,50.8,54.1,87.8,6.3,1.8,0.5,115.0,0.3,-57.82,1.162,0.634,1.08,5.0,4.7,146.0,9.8,52.9,81.6,0.7,-0.4,0.1,1.0,2.2,0.2,0.5,4.25,-24.252,-4.781,0.1,5.9,0.3,2.5,0.0,1.6,3.32,58.7,0.1,0.1,233.3,0.9976000189781189
2007-11,6.1,3.5,50.9,55.8,95.2,5.2,0.4,-0.4,170.0,-0.7,-57.12,1.232,0.711,1.17,4.98,4.7,119.0,27.4,49.7,81.4,0.3,-0.9,0.4,0.4,2.0,0.2,0.1,4.375,-5.21,4.51,0.1,5.8,-0.3,2.4,-0.2,1.8,2.65,57.1,0.2,0.2,227.6,1.0003999471664429
2007-10,4.4,2.8,52.0,54.8,99.5,5.0,0.3,-1.4,96.0,0.2,-56.8,1.193,0.716,1.261,5.03,4.7,27.0,28.8,54.2,82.1,-3.5,1.1,0.3,0.5,1.9,0.15000000000000002,0.3,4.5,-3.815,7.124,0.1,5.9,0.2,2.5,0.4,2.0,4.3,56.0,0.3,0.3,281.0,0.9466999769210815
2007-09,2.2,2.0,52.9,55.8,105.0,3.7,-0.4,-5.3,93.0,0.0,-59.0,1.327,0.735,1.307,5.48,4.6,48.0,14.7,53.8,82.0,0.10000000000000009,-1.8,0.5,0.6,1.8,0.1,0.3,4.75,-0.848,-3.649,0.1,6.0,-0.3,1.7,0.1,2.2,3.41,58.5,-0.3,-0.3,232.7,0.9927999973297119
2007-08,4.0,2.4,53.8,55.8,111.9,3.2,0.7,6.1,68.0,0.5,-59.43,1.367,0.867,1.389,5.75,4.6,150.0,25.1,53.4,82.2,3.7,3.4,0.4,0.4,1.9,0.1,0.3,5.25,-2.961,-5.161,0.1,6.0,0.1,2.2,0.1,2.3,4.655,54.6,-0.3,-0.3,216.0,1.0561000108718872
2007-07,3.3,2.7,56.0,60.7,105.3,3.8,-0.4,1.9,69.0,0.6,-59.16,1.467,0.846,1.413,5.76,4.5,123.5,26.5,60.2,81.7,-0.5,-0.5,0.5,0.2,1.9,0.1,0.3,5.25,-2.851,-6.565,0.1,6.0,-0.2,2.2,0.0,2.5,5.9,67.4,2.1,2.1,226.0,1.0667999982833862
2007-06,4.1,2.7,55.0,59.7,108.5,5.0,-1.1102230246251565e-16,-2.3,190.0,-0.1,-58.5,1.434,0.893,1.52,5.99,4.5,97.0,25.8,61.7,81.4,0.5,-0.2,0.4,0.6,2.0,0.1,0.1,5.25,2.647,-13.104,0.1,6.0,0.4,2.2,0.3,2.2,5.8,62.7,0.0,0.0,235.0,1.0644999742507935
2007-05,3.2,2.6,54.7,56.0,108.5,3.2,0.39999999999999997,1.1,80.0,0.4,-62.39,1.506,0.93,1.4885000000000002,6.01,4.5,97.0,25.8,61.7,81.5,4.1,2.5,0.0,0.5,2.15,0.1,0.06666666666666667,5.25,5.435,-11.322,0.1,6.0,0.4,2.2,0.2,2.5,5.3149999999999995,62.7,1.1,1.1,211.9,1.070099949836731
